S/N,UUID,Transmitting time,Collecting time,Longitude,Latitude,Altitude,Geoid height,Speed,Course,Satellite used,Positioning mode,GPS time consumption,HorAccuracy,VerAccuracy,HDOP,VDOP,Data source
6188,db0bbc637a3a,2021-08-10T00:05:43.929Z,2021-08-10T00:04:52Z,18.5207008,52.8472448,126.4,164.78,0.2,275.1,4,2,30,0,0,1.89,0.99,1
6188,db0bbc637a3a,2021-08-11T00:05:18.925Z,2021-08-10T04:04:56Z,18.5393328,52.8513152,52.79,91.15,0,0,6,2,35,0,0,1.01,0.83,1
6188,db0bbc637a3a,2021-08-11T00:05:18.926Z,2021-08-10T08:05:31Z,18.5294576,52.7878112,165.03,203.55,8.7,219.1,7,2,74,0,0,1.35,2.01,1
6188,db0bbc637a3a,2021-08-11T00:05:18.926Z,2021-08-10T12:05:55Z,18.5533296,52.371984,376.5,415.96,5.6,123.5,8,2,94,0,0,1.02,0.78,1
6188,db0bbc637a3a,2021-08-11T00:05:18.927Z,2021-08-10T16:05:10Z,18.4082048,52.2865952,111.1,150.84,0,92.3,9,2,50,0,0,0.96,0.84,1
6188,db0bbc637a3a,2021-08-11T00:05:18.928Z,2021-08-10T20:04:55Z,18.405688,52.2852096,93.08,132.83,0,99.4,11,2,38,0,0,0.8,0.82,1
6188,db0bbc637a3a,2021-08-11T00:05:18.929Z,2021-08-11T00:04:43Z,18.407688,52.286048,100.46,140.2,0.1,0,7,2,21,0,0,0.82,0.98,1
6188,db0bbc637a3a,2021-08-12T00:05:09.613Z,2021-08-11T04:06:31Z,18.4029472,52.281392,94.62,134.38,0,258.9,8,2,131,0,0,0.88,0.79,1
6188,db0bbc637a3a,2021-08-12T00:05:09.613Z,2021-08-11T08:04:31Z,18.4041984,52.257008,545.34,585.15,10.5,228.5,6,2,13,0,0,1.26,0.94,1
6188,db0bbc637a3a,2021-08-12T00:05:09.614Z,2021-08-11T12:05:55Z,17.889,51.777696,509.1,550.17,6.6,226.3,10,2,93,0,0,0.89,1.04,1
6188,db0bbc637a3a,2021-08-12T00:05:09.615Z,2021-08-11T16:05:16Z,17.4188464,51.4411552,154.74,196.68,0.2,48.6,4,2,56,0,0,2.49,0.97,1
6188,db0bbc637a3a,2021-08-12T00:05:09.616Z,2021-08-11T20:05:25Z,17.4051632,51.4540704,129.7,171.63,0,334.8,9,2,67,0,0,1.13,0.88,1
6188,db0bbc637a3a,2021-08-12T00:05:09.616Z,2021-08-12T00:04:37Z,17.4049952,51.454192,127.75,169.68,0.2,325.3,6,2,15,0,0,1.02,0.94,1
6188,db0bbc637a3a,2021-08-13T00:06:08.598Z,2021-08-12T04:05:55Z,17.4076704,51.4476448,113.9,155.84,0,29.4,8,2,95,0,0,0.89,0.83,1
6188,db0bbc637a3a,2021-08-13T00:06:08.599Z,2021-08-12T08:05:20Z,17.4078032,51.4474528,93.28,135.22,0.2,0,8,1,62,0,0,1.39,0.93,1
6188,db0bbc637a3a,2021-08-13T00:06:08.6Z,2021-08-12T12:05:00Z,16.7463648,50.8538976,546.06,589.19,11.3,244,7,2,38,0,0,1.9,0.85,1
6188,db0bbc637a3a,2021-08-13T00:06:08.601Z,2021-08-12T16:06:01Z,17.1234576,51.4851904,437.94,480.05,6.5,163.3,8,2,101,0,0,1.1,1.39,1
6188,db0bbc637a3a,2021-08-13T00:06:08.602Z,2021-08-12T20:05:19Z,17.126728,51.5615232,103.05,145.06,0,159.7,8,2,61,0,0,1.18,0.82,1
6188,db0bbc637a3a,2021-08-13T00:06:08.603Z,2021-08-13T00:05:33Z,17.1267056,51.5615104,184.45,226.45,0,130.9,9,1,71,0,0,0.79,0.88,1
6188,db0bbc637a3a,2021-08-14T00:07:02.842Z,2021-08-13T04:04:55Z,17.1251104,51.5726368,83.97,125.96,0,39.5,7,2,35,0,0,1.14,0.88,1
6188,db0bbc637a3a,2021-08-14T00:07:02.843Z,2021-08-13T08:04:54Z,17.116392,51.598624,147.39,189.35,0.6,27.3,4,2,37,0,0,1.55,0.96,1
6188,db0bbc637a3a,2021-08-14T00:07:02.844Z,2021-08-13T12:06:38Z,17.489568,51.5374144,240.86,282.61,0,0,4,1,136,0,0,1.77,1,1
6188,db0bbc637a3a,2021-08-14T00:07:02.845Z,2021-08-13T16:06:34Z,17.4889376,51.5376544,115.56,157.3,0.1,268.1,4,2,133,0,0,3.04,0.99,1
6188,db0bbc637a3a,2021-08-14T00:07:02.846Z,2021-08-13T20:05:10Z,17.4944272,51.534656,112.33,154.08,0.1,141.2,5,2,51,0,0,1.19,0.9,1
6188,db0bbc637a3a,2021-08-14T00:07:02.847Z,2021-08-14T00:05:25Z,17.494696,51.5348672,108.34,150.08,0.3,248.4,7,2,63,0,0,1.36,0.93,1
6188,db0bbc637a3a,2021-08-15T00:07:38.921Z,2021-08-14T04:05:49Z,17.493408,51.5349984,-12.43,29.31,0.2,172.9,4,2,89,0,0,1.48,1,1
6188,db0bbc637a3a,2021-08-15T00:07:38.922Z,2021-08-14T08:05:31Z,17.4882864,51.536016,111.98,153.73,0.2,93.8,4,2,73,0,0,1.56,0.97,1
6188,db0bbc637a3a,2021-08-15T00:07:38.923Z,2021-08-14T12:05:01Z,17.4891392,51.5353536,120.58,162.33,0.4,157.8,7,2,40,0,0,1.85,2.09,1
6188,db0bbc637a3a,2021-08-15T00:07:38.924Z,2021-08-14T16:05:50Z,17.4879648,51.5358112,109.88,151.64,0.2,232.6,5,2,90,0,0,3.1,0.96,1
6188,db0bbc637a3a,2021-08-15T00:07:38.925Z,2021-08-14T20:05:49Z,17.4882736,51.5439456,150.53,192.27,0.7,103.1,5,2,90,0,0,2.05,0.78,1
6188,db0bbc637a3a,2021-08-15T00:07:38.926Z,2021-08-15T00:06:53Z,200,200,0,0,0,0,0,0,150,0,0,0,0,1
6188,db0bbc637a3a,2021-08-16T00:05:14.795Z,2021-08-15T04:04:45Z,200,200,0,0,0,0,0,0,21,0,0,0,0,1
6188,db0bbc637a3a,2021-08-16T00:05:14.795Z,2021-08-15T08:05:00Z,17.4880576,51.5365632,121.25,163,0.8,242.5,6,2,42,0,0,2.56,0.89,1
6188,db0bbc637a3a,2021-08-16T00:05:14.796Z,2021-08-15T12:05:00Z,17.4912496,51.538464,104.52,146.27,0,0,7,2,39,0,0,1.03,0.78,1
6188,db0bbc637a3a,2021-08-16T00:05:14.797Z,2021-08-15T16:04:45Z,200,200,0,0,0,0,0,0,21,0,0,0,0,1
6188,db0bbc637a3a,2021-08-16T00:05:14.797Z,2021-08-15T20:06:54Z,200,200,0,0,0,0,0,0,150,0,0,0,0,1
